msgs,sentiments
Can you assist with a wire transfer instructions?,"{'label': 'NEGATIVE', 'score': 0.993005096912384}"
I need to order new debit cards.,"{'label': 'NEGATIVE', 'score': 0.999441921710968}"
How can I set up direct deposit?,"{'label': 'NEGATIVE', 'score': 0.999298095703125}"
Im having trouble with my debit card.,"{'label': 'NEGATIVE', 'score': 0.9994124174118042}"
Is there a branch nearby I can visit?,"{'label': 'NEGATIVE', 'score': 0.863028883934021}"
I lost my checkbook. What should I do?,"{'label': 'NEGATIVE', 'score': 0.999687671661377}"
I need help with a stop payment request.,"{'label': 'NEGATIVE', 'score': 0.9994527697563171}"
Can you assist with changing my contact information?,"{'label': 'NEGATIVE', 'score': 0.983791708946228}"
Id like to request a credit limit increase.,"{'label': 'NEGATIVE', 'score': 0.9867673516273499}"
Id like to apply for a mortgage.,"{'label': 'NEGATIVE', 'score': 0.9855820536613464}"
What are the mortgage rates?,"{'label': 'NEGATIVE', 'score': 0.9960946440696716}"
I need to initiate a wire transfer.,"{'label': 'NEGATIVE', 'score': 0.9989116191864014}"
What information do I need for the transfer?,"{'label': 'NEGATIVE', 'score': 0.99888676404953}"
Id like to apply for a credit card.,"{'label': 'NEGATIVE', 'score': 0.9345747828483582}"
What credit card options are available?,"{'label': 'NEGATIVE', 'score': 0.9954610466957092}"
How can I open a new account?,"{'label': 'NEGATIVE', 'score': 0.9991328120231628}"
What documents are required for account opening?,"{'label': 'NEGATIVE', 'score': 0.9968767166137695}"
I need to stop a payment on my account.,"{'label': 'NEGATIVE', 'score': 0.9995577931404114}"
How can I request a stop payment?,"{'label': 'NEGATIVE', 'score': 0.999491810798645}"
Tell me about personal loan options.,"{'label': 'POSITIVE', 'score': 0.8283824920654297}"
Whats the loan application process?,"{'label': 'NEGATIVE', 'score': 0.9969916343688965}"
Im having trouble with the mobile banking app.,"{'label': 'NEGATIVE', 'score': 0.9995599389076233}"
Can you help me troubleshoot the issue?,"{'label': 'NEGATIVE', 'score': 0.9964755177497864}"
Id like to change my online banking password.,"{'label': 'NEGATIVE', 'score': 0.9929458498954773}"
How do I reset my password?,"{'label': 'NEGATIVE', 'score': 0.9989277720451355}"
Tell me about home equity loan options.,"{'label': 'POSITIVE', 'score': 0.9827907085418701}"
Whats the interest rate for home equity loans?,"{'label': 'NEGATIVE', 'score': 0.9959492683410645}"
I need assistance with a loan application.,"{'label': 'NEGATIVE', 'score': 0.9958492517471313}"
What are the current interest rates?,"{'label': 'NEGATIVE', 'score': 0.9946258664131165}"
How can I open a new account?,"{'label': 'NEGATIVE', 'score': 0.9991328120231628}"
What documents are required for account opening?,"{'label': 'NEGATIVE', 'score': 0.9968767166137695}"
Id like to change my account PIN.,"{'label': 'NEGATIVE', 'score': 0.9974520802497864}"
How can I update my contact information?,"{'label': 'NEGATIVE', 'score': 0.9992701411247253}"
I lost my debit card. What should I do?,"{'label': 'NEGATIVE', 'score': 0.999717652797699}"
Can you block my card?,"{'label': 'NEGATIVE', 'score': 0.99920254945755}"
I have questions about mortgage options.,"{'label': 'NEGATIVE', 'score': 0.9852178692817688}"
How can I apply for a mortgage?,"{'label': 'NEGATIVE', 'score': 0.9992035031318665}"
Can you send me my account statement?,"{'label': 'NEGATIVE', 'score': 0.9965921640396118}"
How can I access e-statements?,"{'label': 'NEGATIVE', 'score': 0.9991890788078308}"
Ive moved. How do I update my address?,"{'label': 'NEGATIVE', 'score': 0.9902175068855286}"
Whats the process for changing my address?,"{'label': 'NEGATIVE', 'score': 0.9976021647453308}"
I received a suspicious email. Is it from the bank?,"{'label': 'NEGATIVE', 'score': 0.9970007538795471}"
How can you provide information on personal loans?,"{'label': 'NEGATIVE', 'score': 0.9987437129020691}"
How can I order new checks?,"{'label': 'NEGATIVE', 'score': 0.9994825124740601}"
I want to set up a recurring transfer.,"{'label': 'NEGATIVE', 'score': 0.9956474900245667}"
Is there a fee for using ATMs abroad?,"{'label': 'NEGATIVE', 'score': 0.9979878664016724}"
Can you explain overdraft protection?,"{'label': 'NEGATIVE', 'score': 0.9903653264045715}"
I received a suspicious call claiming to be from the bank.,"{'label': 'NEGATIVE', 'score': 0.9987366795539856}"
How can I request account statements?,"{'label': 'NEGATIVE', 'score': 0.9990929365158081}"
Can you provide information on retirement accounts?,"{'label': 'NEGATIVE', 'score': 0.9918298125267029}"
Id like to apply for a small business loan.,"{'label': 'NEGATIVE', 'score': 0.9758054614067078}"
Whats the process for small business loan applications?,"{'label': 'NEGATIVE', 'score': 0.995415449142456}"
Im experiencing issues with online banking.,"{'label': 'NEGATIVE', 'score': 0.9908069968223572}"
What are the current CD rates?,"{'label': 'NEGATIVE', 'score': 0.9978160858154297}"
Can you help me with a home equity line of credit?,"{'label': 'NEGATIVE', 'score': 0.9926875829696655}"
I received a suspicious text message. Is it from the bank?,"{'label': 'NEGATIVE', 'score': 0.9986403584480286}"
How can I request account statements?,"{'label': 'NEGATIVE', 'score': 0.9990929365158081}"
Can you provide information on home equity loans?,"{'label': 'NEGATIVE', 'score': 0.992382824420929}"
Tell me about investment options.,"{'label': 'POSITIVE', 'score': 0.9956444501876831}"
Can I schedule a meeting with a financial advisor?,"{'label': 'NEGATIVE', 'score': 0.9966226816177368}"
Id like to change my online banking password.,"{'label': 'NEGATIVE', 'score': 0.9929458498954773}"
How do I reset my password?,"{'label': 'NEGATIVE', 'score': 0.9989277720451355}"
How long does it take to get approved for a credit card?,"{'label': 'NEGATIVE', 'score': 0.9990960359573364}"
Whats the credit limit on the cards?,"{'label': 'NEGATIVE', 'score': 0.9950127005577087}"
I have a question about a recent transaction.,"{'label': 'NEGATIVE', 'score': 0.9199704527854919}"
Can you provide tax documentation for my account?,"{'label': 'NEGATIVE', 'score': 0.9984133243560791}"
Id like to sign up for mobile banking.,"{'label': 'POSITIVE', 'score': 0.5920693278312683}"
Can you provide the wire transfer fee details?,"{'label': 'NEGATIVE', 'score': 0.9970180988311768}"
Whats the daily transfer limit for wire transfers?,"{'label': 'NEGATIVE', 'score': 0.9965835809707642}"
How often should I change my online banking password?,"{'label': 'NEGATIVE', 'score': 0.9991846680641174}"
What are the password requirements for online banking?,"{'label': 'NEGATIVE', 'score': 0.9974631071090698}"
Whats the maximum loan amount for small business loans?,"{'label': 'NEGATIVE', 'score': 0.9858945608139038}"
Whats the interest rate for small business loans?,"{'label': 'NEGATIVE', 'score': 0.9949287176132202}"
Whats the minimum down payment for a mortgage?,"{'label': 'NEGATIVE', 'score': 0.9899098873138428}"
How does the mortgage application process work?,"{'label': 'NEGATIVE', 'score': 0.9990025162696838}"
